MAtrixName,Time mean Numpy linalog,Time std Numpy linalog,Time mean steepestDescent,Time std steepestDescent, mean log10 error steepest descent, std log10 error steepest descent,mean Time Conjugate gardient,std Time Conjugate gardient,mean log10 error Conjugate gardient,std log10 error Conjugate gardient
A,0.001052854061126709,0.0002489857160216818,0.0012462663650512696,6.963265592776233e-05,-16.544301063871465,-16.544301063871465,0.0012256693840026855,5.95648733488425e-05,-16.395838891074252,-16.395838891074252
B,7.815122604370118e-05,9.703096930121207e-06,0.0009178733825683594,8.925042575191708e-05,-15.449277012289048,-15.449277012289048,0.0006441783905029297,6.87704022095906e-05,-15.475636750828533,-15.475636750828533
C,0.001019763946533203,0.000135625518871571,0.0008372282981872559,1.3137538489304015e-05,-15.371373969486148,-15.371373969486148,0.0007911443710327149,9.409683915442516e-06,-15.3245912352613,-15.3245912352613
D,0.0010668039321899414,0.0003326665899737742,0.006163690090179443,0.017796830985071465,-10.623503313804958,-10.623503313804958,0.0010422205924987794,0.0002239313752861644,-10.97549085848086,-10.97549085848086
E,8.345365524291992e-05,2.3259597871657827e-05,0.0023339056968688966,0.010894168377203806,-14.90867349655301,-14.90867349655301,0.00043538331985473635,0.00012180072594300099,-14.970138062127612,-14.970138062127612
F,0.0015195345878601075,0.0009392429740778873,0.006988353729248047,0.02385536099758033,-14.88130150408741,-14.88130150408741,0.0016933250427246093,0.0009489105256128207,-14.70349177369409,-14.70349177369409
G,0.00013461828231811523,4.826507816003845e-06,0.0007104969024658203,0.00014691626748339484,-13.299083682024703,-13.299083682024703,0.0005731439590454102,1.9821198400460803e-05,-14.927659283972195,-14.927659283972195
H,0.0001365184783935547,7.290464345404204e-06,0.0020818066596984862,0.00012834861069147487,-15.383787075240695,-15.383787075240695,0.0012279248237609863,0.0001749995530948072,-16.043035585494827,-16.043035585494827
