MAtrixName,Time mean Numpy linalog,Time std Numpy linalog,Time mean steepestDescent,Time std steepestDescent, mean log10 error steepest descent, std log10 error steepest descent,mean Time Conjugate gardient,std Time Conjugate gardient,mean log10 error Conjugate gardient,std log10 error Conjugate gardient
A,0.008790619373321533,0.010332902541197321,0.0069381785392761235,0.003972674446078894,-17.523464443102057,-17.523464443102057,0.006249632835388184,0.0023131632338986518,-17.083815279479197,-17.083815279479197
B,0.00036977291107177736,2.9950077376882987e-05,0.0032103300094604493,0.00023102600507508272,-16.857012347659047,-16.857012347659047,0.0021291351318359374,0.00027058451343249886,-16.880711468831965,-16.880711468831965
C,0.006264710426330566,0.005932347699790893,0.002817583084106445,0.000517399436480601,-13.695749617282468,-13.695749617282468,0.002890503406524658,0.00020451567221076798,-14.41049851094832,-14.41049851094832
D,0.012541134357452393,0.020214588758233735,0.05853053331375122,0.008912373022395111,-14.94100701769294,-14.94100701769294,0.018986148834228514,0.004074303165605089,-14.900817173164985,-14.900817173164985
E,0.00037238121032714846,2.6282083286892577e-05,0.009544694423675537,0.0007761009477860427,-17.104394196623293,-17.104394196623293,0.004687027931213379,0.0004829048265891999,-17.051663654573876,-17.051663654573876
F,0.006381683349609375,0.0058980164327049,0.10965373992919922,0.013112500515903609,-13.114802285698206,-13.114802285698206,0.02362032890319824,0.005346441548512994,-12.28758292181972,-12.28758292181972
G,0.000372316837310791,3.624969102609154e-05,0.007721238136291504,0.0012482434400512775,-15.121164674079466,-15.121164674079466,0.004245662689208984,0.0007354438932651474,-15.364522105734979,-15.364522105734979
H,0.005953328609466553,0.007104440627507338,0.009657824039459228,0.0024779158693569677,-9.875088214042291,-9.875088214042291,0.006259891986846924,0.0007210008007106468,-9.050069510987315,-9.050069510987315
